canonical,type,origin_lang,source_form,gloss,notes,forms,wikt_entry,reviewed
vid,root,Latin,videre,to see,,vid|vis,videre,1
viv,root,Latin,vivere,to live,vit- from vita 'life',viv|vit,vivere,1
voc,root,Latin,vox,voice; to call,genitive vocis; vocare 'to call',voc|vok,vox,0
volv,root,Latin,volvere,"to roll, turn",,volv|volut,volvere,1
-ic,suffix,Latin/Greek,-icus/-ikos,"relating to, characterized by",,ic,-ic,1
-al,suffix,Latin,-alis,"relating to, of the kind of",,al|ial|tual|ual,-al,1
-ous,suffix,Latin,-osus,"full of, having",,ous|ious|eous,-ous,1
-ary,suffix,Latin,-arius,relating to; place for,,ary,-ary,1
-ory,suffix,Latin,-orius,relating to; place for,,ory,-ory,1
-ive,suffix,Latin,-ivus,"tending to, having the nature of",,ive,-ive,1
-able,suffix,Latin,-abilis,capable of being,via Old French,able|ible,-able,1
-tion,suffix,Latin,-tio,act or result of,,tion|sion|ation|ition,-tion,1
-ion,suffix,Latin,-io,"act, state, result",,ion,-ion,1
-ment,suffix,Latin,-mentum,result or means of an action,,ment,-ment,1
-ity,suffix,Latin,-itas,state or quality of,,ity|ety,-ity,1
-or,suffix,Latin,-or,"one who, that which",,or,-or,0
-ate,suffix,Latin,-atus,having; to make or act,,ate,-ate,1
-ify,suffix,Latin,-ificare,"to make, cause to become",,ify|fy,-ify,1
-age,suffix,Latin,-aticum,"action, collection, condition",via Old French,age,-age,1
-ance,suffix,Latin,-antia,state or quality of,,ance|ence|ancy|ency,-ance,1
-ant,suffix,Latin,-antem,performing or being (agent/adjective),,ant|ent,-ant,1
-arian,suffix,Latin,-arius,"believer in, advocate of",,arian,-arian,0
-ia,suffix,Latin/Greek,-ia,"state, condition; used in names of places and diseases",,ia,-ia,1
-ist,suffix,Ancient Greek,-istes,one who practices or believes,-ιστής,ist,-ist,1
-ism,suffix,Ancient Greek,-ismos,"doctrine, practice, condition",-ισμός,ism,-ism,0
-ize,suffix,Ancient Greek,-izein,"to make, to become, to treat",-ίζειν; -ise British,ize|ise,-ize,1
-oid,suffix,Ancient Greek,-oeides,"resembling, like",-οειδής,oid,-oid,0
-itis,suffix,Ancient Greek,-itis,inflammation of,-ῖτις,itis,-itis,0
-logy,suffix,Ancient Greek,-logia,"study of, discourse",-λογία; from logos,logy,-logy,1
-sis,suffix,Ancient Greek,-sis,"process, action, state",-σις; as in thesis = the- + -sis,sis,-sis,1
-graphy,suffix,Ancient Greek,-graphia,"writing, recording, field of study",-γραφία,graphy,-graphy,0
-cracy,suffix,Ancient Greek,-kratia,"rule, government",-κρατία; -crat 'ruler/supporter',cracy|crat,-cracy,1
-ness,suffix,Old English,-nes,state or quality of,,ness,-ness,1
-er,suffix,Old English,-ere,"one who, that which",agent suffix,er,-er,0
-ful,suffix,Old English,-full,"full of, characterized by",,ful,-ful,1
-less,suffix,Old English,-leas,"without, lacking",,less,-less,1
-ly,suffix,Old English,-lice,in the manner of,,ly,-ly,0
-ish,suffix,Old English,-isc,"somewhat like, of the nature of",,ish,-ish,1
-hood,suffix,Old English,-had,"state, condition, group",,hood,-hood,1
-ship,suffix,Old English,-scipe,"state, office, skill",,ship,-ship,1
-dom,suffix,Old English,-dom,"domain, condition, realm",,dom,-dom,1
-en,suffix,Old English,-nian,"to make, become; made of",,en,-en,0
-ward,suffix,Old English,-weard,in the direction of,,ward|wards,-ward,1
-wise,suffix,Old English,wise,in the manner or direction of,,wise,-wise,1
-y,suffix,Old English,-ig,"characterized by, full of",single-letter form is highly ambiguous — expect cost-function reliance,y,-y,0
-y,suffix,Ancient Greek,-ia,"state, condition, or quality","abstract-noun-forming sense (philosophy, economy, agony), via Latin -ia / Old French -ie — distinct from the Old English adjective-forming -y above; single-letter form is highly ambiguous",y,-y,0
-esque,suffix,French,-esque,"in the style of, resembling",from Italian -esco,esque,-esque,0
ob-,prefix,Latin,ob,"toward, against, in the way of","assimilates before the stem consonant (occur, offer, oppose)",ob|oc|of|op,ob-,1
oct-,prefix,Latin,octo,eight,October was the eighth month of the Roman calendar,oct|octo|octa,oct-,1
-ure,suffix,Latin,-ura,"act, process, or result of",,ure|ature|ture,-ure,1
-cle,suffix,Latin,-culus,diminutive: small,,cle|cule|culum,-cle,1
-et,suffix,French,-ittus,diminutive: small,via Old French from Latin -ittus. Bare 'et' deliberately excluded: it splits sunset/upset/quiet/sheet more often than it finds a real diminutive,ette|let,-et,1
-eer,suffix,French,-ier,one concerned with,,eer|ier,-eer,1
-ry,suffix,French,-erie,"condition, practice, or collective",bare 'ry' deliberately excluded: it out-competes the -y suffix on carry/sorry/story and on every -ry given name,ery,-ry,1
-esc-,suffix,Latin,-escere,"beginning to, becoming (inchoative)","adolescence, convalescent, incandescent",esc|escent|escence,-esc-,1
turb,root,Latin,turbare,"to stir up, throw into confusion",,turb|turbul,turbare,1
flict,root,Latin,fligere,to strike,,flict|flig,fligere,1
var,root,Latin,varius,"varied, changing, different",,var|vari,varius,1
anx,root,Latin,angere,"to choke, press, distress",form 'ang' deliberately excluded: it leaves a one-letter stem on rang/sang/yang and every -ang name,anx,angere,1
circ,root,Latin,circus,"ring, circle",,circ|circul,circus,1
priv,root,Latin,privus,"one's own, separate",,priv|privat,privus,1
civ,root,Latin,civis,"citizen, city","form 'cit' deliberately excluded: cite/excite/recite are Latin citare 'to summon', an unrelated root",civ|citi,civis,1
vuln,root,Latin,vulnus,wound,,vuln|vulner,vulnus,1
cand,root,Latin,candere,"to shine, glow, be white","form 'cens' deliberately excluded: census/censor are Latin censere 'to assess', an unrelated root",cand|candid,candere,1
liqu,root,Latin,liquere,to be fluid,,liqu|liquid|liquor,liquere,1
splend,root,Latin,splendere,"to shine, be bright",,splend|splendid,splendere,1
fort,root,Latin,fortis,strong,,fort|forc|fortit,fortis,1
equ,root,Latin,aequus,"equal, level, even",,equ|equi|iqu,aequus,1
exerc,root,Latin,exercere,"to keep busy, train",,exerc|exercit,exercere,1
prior,root,Latin,prior,"former, earlier","forms 'prim'/'prin' deliberately excluded: they belong to the existing primus row, and prior/primus are distinct Latin lexemes",prior,prior,1
typ,root,Ancient Greek,typos,"impression, stamp, model",,typ|typo,typos,1
bol,root,Ancient Greek,ballein,"to throw, cast",forms 'ble'/'bl' deliberately excluded: they collide with the -able/-ible suffixes and are too short to survive the cost function,bol,ballein,1
iatr,root,Ancient Greek,iatros,"healer, physician",,iatr|iatri,iatros,1
onym,root,Ancient Greek,onoma,name,,onym|onoma|nym,onoma,1
myth,root,Ancient Greek,mythos,"story, tale, speech",,myth|mytho,mythos,1
schem,root,Ancient Greek,schema,"form, figure, plan",,schem|schemat,schema,1
rhythm,root,Ancient Greek,rhythmos,measured flow,,rhythm|rhyth,rhythmos,1
phras,root,Ancient Greek,phrazein,"to speak, declare",,phras|phrase,phrazein,1
-s,suffix,Old English,"-as, -es",plural; third-person singular present,"inflectional, not derivational — carried here so plurals stop surfacing as unmatched spans (thing|s, not thi|ngs)",s|es|ies|ves,-s,1
-ed,suffix,Old English,"-ode, -de",past tense; past participle,"1-letter allomorphs d/t deliberately excluded: they split said, find, told, wait, went and hundreds of other whole words",ed,-ed,1
-ing,suffix,Old English,"-ung, -ing",verbal noun; present participle,,ing,-ing,1
-est,suffix,Old English,-ost,superlative degree,form 'st' deliberately excluded: it breaks first/last/best/must,est,-est,1
-ty,suffix,Old English,-tig,group of ten,"fifty, sixty — distinct from the Latinate -ty of quality/city",ty|tig,-ty,1
-teen,suffix,Old English,-tyne,ten more than,,teen,-teen,1
-th,suffix,Old English,"-thu, -otha",forms ordinals and abstract nouns,"fourth, wealth, strength",th,-th,1
clud,root,Latin,claudere,"to close, shut","conclusion, include, exclusive, closet",clud|clus|clude,claudere,1
sum,root,Latin,sumere,"to take, take up","assume, consume, presume",sum|sump|sume,sumere,1
sed,root,Latin,sedere,"to sit, settle","session, sedentary, president, reside",sed|sess|sid,sedere,1
cre,root,Latin,creare,"to make, bring forth","creation, recreate",cre|creat,creare,1
gnos,root,Latin,(g)noscere,to know,"recognise, cognition, diagnosis",gnos|cogn|nosc,(g)noscere,1
rap,root,Latin,rapere,"to seize, snatch",form 'reav' deliberately excluded: bereave is Old English bereafian,rap|rapt|rept,rapere,1
nat,root,Latin,natus,born,"form 'na' deliberately excluded — two letters, far too greedy",nat|gnat,natus,1
aug,root,Latin,augere,to increase,"auction, augment, author (via auctor)",aug|auct|auc,augere,1
div,root,Latin,dividere,"to divide, separate","forms 'vid'/'vis' deliberately excluded: they belong to the existing vid 'to see' row, and dividere is a different root",div,dividere,1
propr,root,Latin,proprius,one's own,"appropriate, property, proper",propr|propri,proprius,1
magn,root,Latin,magnus,"great, large","magnificent, magnitude, majesty, maximum",magn|magnif,magnus,1
sal,root,Latin,salire,to leap,"insult, assault, resilient",sal|sult|sault,salire,1
cad,root,Latin,cadere,to fall,"occasion, accident, cadence",cad|cid|cas,cadere,1
grad,root,Latin,gradi,"to step, go","aggressive, congress, degree, gradual",grad|gress|gree,gradi,1
fend,root,Latin,fendere,"to strike, ward off","offense, defend",fend|fens,fendere,1
caus,root,Latin,causa,"cause, reason",,caus,causa,1
satis,root,Latin,satis,enough,,satis,satis,1
liber,root,Latin,liber,free,,liber|libert,liber,1
plag,root,Latin,plaga,"blow, stroke",,plag,plaga,1
eleph,root,Ancient Greek,elephas,"elephant, ivory",,eleph,elephas,1
galact,root,Ancient Greek,"gala, galakt-",milk,galaxy — the Milky Way,galact|galax,"gala, galakt-",1
pract,root,Ancient Greek,prattein,"to do, act",,pract|prax,prattein,1
cryst,root,Ancient Greek,krystallos,"ice, crystal",,cryst|crystall,krystallos,1
val,root,Latin,valere,"to be strong, be worth",,val,valere,1
serv,root,Latin,servire,to serve,,serv,servire,1
